release_year,FilmID,Title,Mood,Theme,NarrativeStyle,EmotionalTone,Description
2017,895,Annabelle: Creation,neutral,neutral,neutral,"Horror, Mystery, Thriller","Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle. Genre: Horror, Mystery, Thriller"
2017,896,War for the Planet of the Apes,neutral,neutral,neutral,"Drama, Science Fiction, War","Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet. Genre: Drama, Science Fiction, War"
2017,897,Ferdinand,neutral,neutral,neutral,"Animation, Family, Adventure, Comedy","Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf. Genre: Animation, Family, Adventure, Comedy"
2017,898,The Hitman's Bodyguard,neutral,neutral,neutral,"Thriller, Comedy, Crime, Action","The world’s top bodyguard gets a new client, a hitman who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time. Genre: Thriller, Comedy, Crime, Action"
2012,899,Wrong Turn 5: Bloodlines,uplifting,family,drama,"Horror, Thriller","A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students. Genre: Horror, Thriller"
2010,900,Knight and Day,neutral,neutral,neutral,"Action, Comedy","A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust. Genre: Action, Comedy"
2018,901,Cheese in the Trap,neutral,neutral,neutral,"Romance, Drama, Thriller","Movie is based on the popular webcomic “Cheese in the Trap” by Soonkki which was previously adapted in the 2016 television drama series “Cheese in the Trap.” Genre: Romance, Drama, Thriller"
2003,902,The Matrix Revolutions,neutral,neutral,neutral,"Adventure, Action, Thriller, Science Fiction","The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith. Genre: Adventure, Action, Thriller, Science Fiction"
2009,903,Stan Helsing,neutral,neutral,neutral,"Comedy, Horror","It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan Genre: Comedy, Horror"
2019,904,White Snake,neutral,fantasy,mystery,"Romance, Animation, Fantasy","One day a young woman named Blanca is saved by Xuan, a snake catcher from a nearby village. She has lost her memory, and together they go on a journey to discover her real identity, developing deeper feelings for one another along the way. But as they learn more about her past, they uncover a darker plot of supernatural forces vying for power, with the fate of the world hanging in the balance. Genre: Romance, Animation, Fantasy"
2014,905,Hercules,"uplifting, heroic",family,"action, drama","Action, Adventure","Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become. Genre: Action, Adventure"
2021,906,Skipping Stones,neutral,neutral,drama,Drama,"Nearly a decade after a tragic accident costs a young man his life, his sister, Amanda (Gabrielle Kalomiris) and best friend, David (Nathaniel Ansbach) are still peeling back the layers of grief and guilt that come with being left behind. Genre: Drama"
2011,907,Wrong Turn 4: Bloody Beginnings,neutral,survival,neutral,"Horror, Thriller","A group of friends take refuge in a deserted sanatorium after they are left stranded in a snowstorm. Later, the place becomes a death trap when man-eating cannibals surround them. Genre: Horror, Thriller"
2013,908,The Purge,uplifting,family,drama,"Science Fiction, Horror, Thriller","Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion. Genre: Science Fiction, Horror, Thriller"
2016,909,Ghostbusters,neutral,neutral,neutral,"Action, Fantasy, Comedy","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat. Genre: Action, Fantasy, Comedy"
2019,910,Trinity Seven 2: Heaven's Library & Crimson Lord,neutral,neutral,neutral,"Animation, Action, Fantasy, Comedy","The series focuses on the adventures of Arata Kasuga, a high school student, who is targeted by Lilith, a teacher at a mystical school. Given three choices in an effort to help save the breakdown phenomenon of the world by evil forces and while attempting to solve the mystery of his beloved cousin and childhood friend, Hijiri, who disappeared to a difference space. Genre: Animation, Action, Fantasy, Comedy"
2011,911,Scream 4,tense,neutral,action,"Horror, Mystery","Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale, who are now married, as well as her cousin Jill and her Aunt Kate. Unfortunately, Sidney's appearance also brings about the return of Ghostface, putting Sidney, Gale, and Dewey, along with Jill, her friends, and the whole town of Woodsboro in danger. Genre: Horror, Mystery"
2014,912,Viking Quest,neutral,neutral,neutral,"Action, Adventure, Fantasy, TV Movie","Erick, a young Viking warrior, joins forces with a rival clan in order to rescue a kidnapped princess from the great Midgard Serpent. It's a perilous task with a risk far greater than merely their own lives; by rescuing the princess, they might cause Ragnarök - the end of the world. Genre: Action, Adventure, Fantasy, TV Movie"
2010,913,Jonah Hex,neutral,family,neutral,"Action, Western, Drama, Fantasy, Thriller","Gunslinger Jonah Hex is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull, a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child. Genre: Action, Western, Drama, Fantasy, Thriller"
2021,914,Robin Robin,neutral,neutral,neutral,"Animation, Adventure, Family, Music","A bird raised by mice begins to question where she belongs and sets off on a daring journey of self-discovery. Genre: Animation, Adventure, Family, Music"
2020,915,Nobody Sleeps in the Woods Tonight,neutral,neutral,neutral,"Horror, Thriller","Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever. Genre: Horror, Thriller"
2011,916,Drive,neutral,neutral,drama,"Drama, Thriller, Crime","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery. Genre: Drama, Thriller, Crime"
2022,917,Spider-Man: Across the Spider-Verse (Part One),neutral,neutral,neutral,"Animation, Action, Science Fiction, Comedy, Adventure","Miles Morales returns for the next chapter of the Spider-Verse saga, an epic adventure that will transport Brooklyn’s full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered. Genre: Animation, Action, Science Fiction, Comedy, Adventure"
2017,918,Blade Runner 2049,neutral,neutral,neutral,"Science Fiction, Drama","Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years. Genre: Science Fiction, Drama"
2007,919,Superman: Doomsday,neutral,neutral,neutral,"Action, Animation, Science Fiction, Family","When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s. Genre: Action, Animation, Science Fiction, Family"
2009,920,District 9,neutral,neutral,neutral,Science Fiction,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9. Genre: Science Fiction"
2019,921,The Angry Birds Movie 2,heroic,neutral,action,"Animation, Comedy, Adventure, Family","Red, Chuck, Bomb and the rest of their feathered friends are surprised when a green pig suggests that they put aside their differences and unite to fight a common threat. Aggressive birds from an island covered in ice are planning to use an elaborate weapon to destroy the fowl and swine. Genre: Animation, Comedy, Adventure, Family"
2020,922,A Nun's Curse,neutral,neutral,neutral,Horror,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners. Genre: Horror
2013,923,White House Down,neutral,neutral,neutral,"Action, Drama, Thriller","Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country. Genre: Action, Drama, Thriller"
2009,924,Star Trek,tense,neutral,action,"Science Fiction, Action, Adventure","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again. Genre: Science Fiction, Action, Adventure"
2008,925,Taken,neutral,neutral,neutral,"Action, Thriller","While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle. Genre: Action, Thriller"
2020,926,Upside-Down Magic,neutral,fantasy,neutral,"Fantasy, Family, TV Movie","Nory and her best friend Reina enter the Sage Academy for Magical Studies, where Nory’s unconventional powers land her in a class for those with wonky, or “upside-down,” magic. Undaunted, Nory sets out to prove that that upside-down magic can be just as powerful as right-side-up. Genre: Fantasy, Family, TV Movie"
2020,927,Onward,neutral,fantasy,mystery,"Family, Animation, Adventure, Comedy, Fantasy","In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there. Genre: Family, Animation, Adventure, Comedy, Fantasy"
2018,928,The Predator,neutral,family,neutral,"Science Fiction, Action, Adventure, Comedy","When a young child accidentally triggers extraterrestrial hunters to return to Earth, a ragtag crew of ex-soldiers and scientists join forces to prevent the end of the human race. Genre: Science Fiction, Action, Adventure, Comedy"
2016,929,Miracles from Heaven,uplifting,family,drama,Drama,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter’s healing as she searches for a solution. After Anna has a freak accident and falls three stories, a miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired. Genre: Drama"
2014,930,A Haunted House 2,neutral,neutral,neutral,"Comedy, Horror","After exorcising the demons of his ex-, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events. Genre: Comedy, Horror"
2015,931,The Martian,neutral,survival,neutral,"Drama, Adventure, Science Fiction","During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Genre: Drama, Adventure, Science Fiction"
2017,932,Despicable Me 3,neutral,family,neutral,"Action, Animation, Comedy, Family, Adventure","Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination. Genre: Action, Animation, Comedy, Family, Adventure"
2019,933,Chicuarotes,neutral,neutral,neutral,"Drama, Crime","Cagalera and Moloteco are two teenagers from San Gregorio Atlapulco who are desperate to get out and move up and away from oppressive circumstances. When they hear of an opportunity to buy a spot in the electrician’s union, which could transform their lives, they quickly devolve into the criminal, adult underworld of Mexico City in a bid to buy their freedom. Genre: Drama, Crime"
2016,934,I'm Not Ashamed,neutral,neutral,neutral,Drama,Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott- the first student killed in the Columbine High School shooting in 1999. Genre: Drama
2012,935,Django Unchained,neutral,neutral,neutral,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner. Genre: Drama, Western"
2021,936,The Ice Road,neutral,neutral,neutral,"Action, Adventure, Drama, Thriller","After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners. Genre: Action, Adventure, Drama, Thriller"
2011,937,Season of the Witch,neutral,neutral,neutral,"Adventure, Fantasy, Action","A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence. Genre: Adventure, Fantasy, Action"
2013,938,Olympus Has Fallen,neutral,neutral,neutral,"Action, Thriller","When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster. Genre: Action, Thriller"
2012,939,Total Recall,heroic,neutral,drama,"Action, Science Fiction, Adventure, Thriller","Welcome to Rekall, the company that can turn your dreams into real memories. For a factory worker named Douglas Quaid, even though he's got a beautiful wife who he loves, the mind-trip sounds like the perfect vacation from his frustrating life - real memories of life as a super-spy might be just what he needs. But when the procedure goes horribly wrong, Quaid becomes a hunted man. Finding himself on the run from the police - controlled by Chancellor Cohaagen, the leader of the free world - Quaid teams up with a rebel fighter to find the head of the underground resistance and stop Cohaagen. The line between fantasy and reality gets blurred and the fate of his world hangs in the balance as Quaid discovers his true identity, his true love, and his true fate. Genre: Action, Science Fiction, Adventure, Thriller"
2004,940,Barbie as The Princess & the Pauper,neutral,fantasy,drama,"Animation, Family, Comedy","In her first animated musical featuring seven original songs, Barbie comes to life in this modern re-telling of a classic tale of mistaken identity and the power of friendship. Based on the story by Mark Twain, Genre: Animation, Family, Comedy"
2020,941,Breach,neutral,neutral,neutral,"Science Fiction, Action","A hardened mechanic must stay awake and maintain an interstellar ark fleeing the dying planet Earth with a few thousand lucky souls on board... the last of humanity. Unfortunately, humans are not the only passengers. A shapeshifting alien creature has taken residence, its only goal is to kill as many people as possible. The crew must think quickly to stop this menace before it destroys mankind. Genre: Science Fiction, Action"
2011,942,Super 8,heroic,neutral,mystery,"Thriller, Science Fiction, Mystery","In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash. Genre: Thriller, Science Fiction, Mystery"
2021,943,Thunder Force,neutral,neutral,neutral,"Action, Adventure, Comedy, Science Fiction","In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city. Genre: Action, Adventure, Comedy, Science Fiction"
2018,944,God's Not Dead: A Light in Darkness,neutral,neutral,neutral,Drama,"Pastor Dave  responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down. Genre: Drama"
2021,945,Single All the Way,uplifting,family,drama,"Romance, Comedy, Drama","Desperate to avoid his family’s judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they’re now in a relationship. But when Peter’s mother sets him up on a blind date with her handsome trainer James, the plan goes awry. Genre: Romance, Comedy, Drama"
2018,946,An Interview with God,neutral,neutral,neutral,"Drama, Mystery","An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime – with someone who claims to be God. Genre: Drama, Mystery"
2021,947,Fear of Rain,neutral,family,drama,"Thriller, Horror, Drama","A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists. Genre: Thriller, Horror, Drama"
1988,948,Child's Play,dark,crime,mystery,Horror,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer. Genre: Horror"
2018,949,Rampage,neutral,neutral,neutral,"Action, Adventure, Science Fiction","Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend. Genre: Action, Adventure, Science Fiction"
2021,950,Barbie & Chelsea: The Lost Birthday,uplifting,family,drama,Animation,"Enjoy high-sea thrills as Barbie, Chelsea and the rest of the Roberts family set sail on an adventure cruise.  ""Barbie & Chelsea The Lost Birthday"" tells the story of Chelsea, Barbie’s precocious youngest sister, and the rest of the Roberts family as they set sail on an adventure cruise for her seventh birthday. When they cross the International Date Line, Chelsea discovers her actual birthday has been lost and she embarks on a fantastical journey through an enchanted jungle island in order to save it. Genre: Animation"
2003,951,The Matrix Reloaded,heroic,neutral,neutral,"Adventure, Action, Thriller, Science Fiction","Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target. Genre: Adventure, Action, Thriller, Science Fiction"
2021,952,Fear Street: 1666,neutral,neutral,neutral,"Mystery, Horror","In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late. Genre: Mystery, Horror"
2001,953,The Mummy Returns,neutral,neutral,mystery,"Adventure, Action, Fantasy","Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army. Genre: Adventure, Action, Fantasy"
2020,954,"Happy Halloween, Scooby-Doo!",neutral,neutral,neutral,"Family, Animation, Mystery, Comedy","Scooby-Doo and the gang team up with their pals, Bill Nye The Science Guy and Elvira Mistress of the Dark, to solve this mystery of gigantic proportions and save Crystal Cove! Genre: Family, Animation, Mystery, Comedy"
2021,955,Safer at Home,neutral,neutral,neutral,"Thriller, Horror","Two years into the pandemic, a group of friends throw an online party with a night of games, drinking and drugs. After taking an ecstasy pill, things go terribly wrong and the safety of their home becomes more terrifying than the raging chaos outside. Genre: Thriller, Horror"
1990,956,Dragon Ball Z: Bardock - The Father of Goku,neutral,fantasy,neutral,"Animation, Action, Science Fiction, Drama, Fantasy","Bardock, Son Goku's father, is a low-ranking Saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. He witnesses the destruction of his race and must now do his best to stop Frieza's impending massacre. Genre: Animation, Action, Science Fiction, Drama, Fantasy"
2008,957,Madagascar: Escape 2 Africa,neutral,neutral,neutral,"Family, Adventure, Animation, Comedy","Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home. Genre: Family, Adventure, Animation, Comedy"
2006,958,Happy Feet,neutral,neutral,neutral,"Animation, Comedy, Family","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce! Genre: Animation, Comedy, Family"
2021,959,Resort to Love,neutral,neutral,neutral,"Romance, Comedy","Aspiring pop star Erica ends up as the entertainment at her ex-fiancé’s wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown. Genre: Romance, Comedy"
2014,960,Night at the Museum: Secret of the Tomb,neutral,fantasy,neutral,"Adventure, Comedy, Fantasy, Family","When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever. Genre: Adventure, Comedy, Fantasy, Family"
2021,961,Swan Song,neutral,neutral,neutral,"Drama, Science Fiction","In the near future, Cameron Turner is diagnosed with a terminal illness. Presented with an experimental solution to shield his wife and son from grief, he grapples with altering their fate. Genre: Drama, Science Fiction"
2013,962,Odd Thomas,neutral,neutral,neutral,"Mystery, Thriller","In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces. Genre: Mystery, Thriller"
2009,963,"I Love You, Beth Cooper",neutral,neutral,neutral,"Comedy, Romance","A valedictorian's declaration of love for a high-school cheerleader launches a night of revelry, reflection and romance for a group of graduating seniors. Genre: Comedy, Romance"
2020,964,Fat Ass Zombies,neutral,neutral,drama,"Horror, Comedy","In a sleepy town, one man, a wannabe horror film director is about to have his life and the world he knows change forever. Finally, he gets the big break he has been waiting a lifetime for, but its not Hollywood knocking on his door. Genre: Horror, Comedy"
2000,965,Joseph: King of Dreams,uplifting,fantasy,neutral,"Family, Animation","In this animated retelling of the story from the Bible's Book of Genesis, Joseph's gift of dream interpretation and his brilliantly colored coat inspires jealousy in his brothers. Genre: Family, Animation"
2019,966,Glass,neutral,neutral,neutral,"Thriller, Drama, Science Fiction","In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men. Genre: Thriller, Drama, Science Fiction"
2007,967,Superbad,neutral,neutral,neutral,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry. Genre: Comedy
2005,968,Constantine,neutral,neutral,neutral,"Fantasy, Action, Horror","John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles. Genre: Fantasy, Action, Horror"
2002,969,Cinderella II: Dreams Come True,neutral,neutral,drama,"Family, Animation, Romance, Fantasy","As a newly crowned princess, Cinderella quickly learns that life at the Palace - and her royal responsibilities - are more challenging than she had imagined. In three heartwarming tales, Cinderella calls on her animal friends and her Fairy Godmother to help as she brings her own grace and charm to her regal role and discovers that being true to yourself is the best way to make your dreams come true. Genre: Family, Animation, Romance, Fantasy"
1997,970,Lolita,neutral,neutral,neutral,Drama,Urbane professor Humbert Humbert marries a New England widow to be near her nymphet daughter. Genre: Drama
2009,971,12 Rounds,neutral,neutral,drama,"Action, Thriller, Crime","When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multimillion-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with 12 rounds of near-impossible puzzles and tasks that he must somehow complete to save the life of the woman he loves. Genre: Action, Thriller, Crime"
2007,972,Ghost Rider,neutral,neutral,drama,"Thriller, Action, Fantasy","In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'. Genre: Thriller, Action, Fantasy"
2011,973,Paul,neutral,neutral,neutral,"Adventure, Comedy, Science Fiction","For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run. Genre: Adventure, Comedy, Science Fiction"
2018,974,The Equalizer 2,neutral,neutral,neutral,"Action, Thriller, Crime","Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when a long-time girl friend is murdered. Genre: Action, Thriller, Crime"
1993,975,The Nightmare Before Christmas,neutral,neutral,neutral,"Fantasy, Animation, Family","Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans. Genre: Fantasy, Animation, Family"
2019,976,How to Train Your Dragon: Homecoming,neutral,neutral,neutral,"Animation, Fantasy, Adventure, Action, Family","It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own... Genre: Animation, Fantasy, Adventure, Action, Family"
2021,977,Women,neutral,neutral,drama,Thriller,A small town detective while investigating the disappearance of a local woman comes across an unassuming Sociology professor who is hiding a secret life. Genre: Thriller
2010,978,The Warrior's Way,neutral,neutral,neutral,"Adventure, Fantasy, Action, Western, Thriller","A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission. Genre: Adventure, Fantasy, Action, Western, Thriller"
2021,979,Shadow in the Cloud,neutral,neutral,neutral,"Horror, Action, War","A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight. Genre: Horror, Action, War"
2013,980,Pain & Gain,neutral,neutral,neutral,"Crime, Action, Comedy","Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story. Genre: Crime, Action, Comedy"
2004,981,The Lion King 1½,neutral,neutral,neutral,"Family, Animation, Comedy","Timon the meerkat and Pumbaa the warthog are best pals and the unsung heroes of the African savanna. This prequel to the smash Disney animated adventure takes you back -- way back -- before Simba's adventure began. You'll find out all about Timon and Pumbaa and tag along as they search for the perfect home and attempt to raise a rambunctious lion cub. Genre: Family, Animation, Comedy"
2021,982,Scooby-Doo! The Sword and the Scoob,neutral,neutral,neutral,"Animation, Comedy, Family, Mystery, Adventure, Fantasy","An evil sorceress transports the gang back to the age of chivalrous knights, spell-casting wizards, and fire-breathing dragons. Genre: Animation, Comedy, Family, Mystery, Adventure, Fantasy"
2012,983,The Expendables 2,neutral,neutral,neutral,"Action, Adventure, Thriller","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat. Genre: Action, Adventure, Thriller"
2009,984,Uncharted,neutral,neutral,neutral,Horror,"""Uncharted"" is a story of a documentary film crew who crash on an island, when they were in hopes of finding a rare animal, a jaguar, that is believed to inhabit the jungle. Unfortunate circumstances arise when her charter plane goes down and crashes on a remote island. Genre: Horror"
